coursecode,regulation,subjectcode,subjectname,status
BTECH-CVL,R16,BTECH-CVL-R16-HAHM,HYDRAULICS AND HYDRAULIC MACHINARY,0
BTECH-CVL,R16,BTECH-CVL-R16-MEFA,Managerial Economics & Financial Analysis,0
BTECH-CVL,R16,BTECH-CVL-R16-FMHMLAB,FLUID MECHANICS AND HYDRAULICS  MACHINERY LAB,0
BTECH-CVL,R16,BTECH-CVL-R16-SFW-II,Survey Field Work - II,0
BTECH-CVL,R16,BTECH-CVL-R16-TERC,TECHNICAL EVENTS REMEDIAL CLASS,0
BTECH-CVL,R16,BTECH-CVL-R16-WWM,WASTE WATER MANAGEMENT,0
BTECH-EEE,R16,BTECH-EEE-R16-EM-II,ELECTRICAL MACHINES-II,0
BTECH-EEE,R16,BTECH-EEE-R16-CS-EEE2-1,CONTROL SYSTEMS,0
BTECH-EEE,R16,BTECH-EEE-R16-PS-I-EEE-2-1,POWER SYSTEMS-I,0
BTECH-EEE,R16,BTECH-EEE-R16-EM-EEE-2-1,ELECTRICAL MEASUREMENTS,0
BTECH-EEE,R16,BTECH-EEE-R16-STLD,SWITCHING THEORY AND LOGIC DESIGN,0
BTECH-EEE,R16,BTECH-EEE-R16-MS-EEE-2-1,MANAGEMENT SCIENCE,0
BTECH-EEE,R16,BTECH-EEE-R16-EM-I-LAB-EEE-2-1,ELECTRICAL MACHINES-I LAB,0
BTECH-EEE,R16,BTECH-EEE-R16-EDC-LAB-I-EEE,ELECTRONICS DEVICES AND CIRCUITS LAB,0
BTECH-EEE,R16,BTECH-EEE-R16-CRT-ACTIVITY-2-1,CRT-ACTIVITY-2-1,0
BTECH-EEE,R16,BTECH-EEE-R16-CRT-ACTIVITY-2-2 COMMU,CRT-ACTIVITY-2-2 COMMUNICATION SKILLS,0
BTECH-EEE,R16,BTECH-EEE-R16-CORE-ARDUINO,CORE-ACTIVITY-ARDUINO,0
BTECH-EEE,R16,BTECH-EEE-R16-PEAD,POWER ELECTRONICS AND DRIVES,0
BTECH-EEE,R16,BTECH-EEE-R16-PSA-EEE,POWER SYSTEM ANALYSIS,0
BTECH-EEE,R16,BTECH-EEE-R16-DS-C,DATA STRUCTURES THROUGH C,0
BTECH-EEE,R16,BTECH-EEE-R16-OOPS,OOPS THROUGH JAVA,0
BTECH-EEE,R16,BTECH-EEE-R16-MPMC-EEE,MICRO PROCESSOR AND MICRO CONTROLLERS ,0
BTECH-EEE,R16,BTECH-EEE-R16-MPMC-LAB,MICRO PROCESSOR AND MICRO CONTROLLERS  LAB,0
BTECH-EEE,R16,BTECH-EEE-R16-DS-C-LAB,DATA STRUCTURES THROUGH C LAB,0
BTECH-EEE,R16,BTECH-EEE-R16-PE-LAB,POWER ELECTRONICS LAB,0
BTECH-EEE,R16,BTECH-EEE-R16-CRT-EEE-3-2,CRT-ACTIVITY-3-2,0
BTECH-EEE,R13,BTECH-EEE-R13-DCS-EEE,DIGITAL CONTROL SYSTEMS,0
BTECH-EEE,R13,BTECH-EEE-R13-FATS,FLEXIBLE AC TRANSMISSION SYSTEMS,0
BTECH-EEE,R13,BTECH-EEE-R13-SEM-EEE,SPECIAL ELECTRICAL MACHINES,0
BTECH-EEE,R13,BTECH-EEE-R13-OOPS-EEE,OOPS THROUGH JAVA,0
BTECH-EEE,R13,BTECH-EEE-R13-EEEPROJECT,EEE PROJECT,0
BTECH-EEE,R13,BTECH-EEE-R13-CORE-4-2,CORE-ACTIVITY-GATE-4-2,0
BTECH-EEE,R16,BTECH-EEE-R16-CRT-ACTIVITY-3-2-EEE,CRT-ACTIVITY-3-2-EEE,0
BTECH-EEE,R16,BTECH-EEE-R16-CORE-GATE-EEE-32,CORE-ACTIVITY-GATE-3-2,0
BTECH-EEE,R16,BTECH-EEE-R16-CRT-ACTIVITY-EEE32-AR,CRT-ACTIVITY-EEE32-AR,0
BTECH-MEC,R16,BTECH-MEC-R16-KOM,KINEMATICS OF MACHINERY,0
BTECH-MEC,R16,BTECH-MEC-R16-TE-I,THERMAL ENGINEERING  I ,0
BTECH-MEC,R16,BTECH-MEC-R16-PT,PRODUCTION TECHNOLOGY,0
BTECH-MEC,R16,BTECH-MEC-R16-DMM-I,DESIGN OF MACHINE MEMBERS-I,0
BTECH-MEC,R16,BTECH-MEC-R16-MD,MACHINE DRAWING,0
BTECH-MEC,R16,BTECH-MEC-R16-IEAM,INDUSTRIAL ENGINEERING AND MANAGEMENT,0
BTECH-MEC,R16,BTECH-MEC-R16-FMHMLAB-2-2,FLUID MECHANICS AND HYDRAULIC MACHINERY LAB,0
BTECH-MEC,R16,BTECH-MEC-R16-PTLAB,PRODUCTION TECHNOLOGY LAB,0
BTECH-MEC,R16,BTECH-MEC-R16-CRT-COMM-2-2,CRT (COMMUNICATION),0
BTECH-MEC,R16,BTECH-MEC-R16-CRT-AR-MECH,CRT (ARITHEMATIC AND REASONING),0
BTECH-MEC,R16,BTECH-MEC-R16-CORE-MECH-2-2,ACTIVITY (FABRICATION),0
BTECH-MEC,R16,BTECH-MEC-R16-MET,METROLOGY,0
BTECH-MEC,R16,BTECH-MEC-R16-IACS,INSTRUMENTATION AND CONTROL SYSTEM,0
BTECH-MEC,R16,BTECH-MEC-R16-RAAC,REFRIGERATION AND AIR CONDITIONING,0
BTECH-MEC,R16,BTECH-MEC-R16-HT,HEAT TRANSFER,0
BTECH-MEC,R16,BTECH-MEC-R16-GES,GREEN ENGINEERING SYSTEMS,0
BTECH-MEC,R16,BTECH-MEC-R16-HTLAB,HEAT TRANSFER LAB,0
BTECH-MEC,R16,BTECH-MEC-R16-MAILAB,METROLOGY AND INSTRUMENTATION LAB,0
BTECH-MEC,R16,BTECH-MEC-R16-CFDLAB,COMPUTATIONAL FLUID DYNAMICS LAB,0
BTECH-MEC,R16,BTECH-MEC-R16-PEHV,PROFESSIONAL ETHICS AND HUMAN VALUES,0
BTECH-MEC,R16,BTECH-MEC-R16-CORE-MECH-AM,ACTIVITY (AUTOMOBILE MAINTANANCE),0
BTECH-MEC,R16,BTECH-MEC-R16-CORE-CATIA,ACTIVITY (CAD/CATIA),0
coursecode,regulation,subjectcode,subjectname,0
BTECH-MEC,R13,BTECH-MEC-R13-4-2-01,PRODUCTION PLANNING AND CONTROL,0
BTECH-MEC,R13,BTECH-MEC-R13-4-2-02,GREEN ENGINEERING SYSTEMS,0
BTECH-MEC,R13,BTECH-MEC-R13-4-2-03,POWER PLANT ENGINEERING,0
BTECH-MEC,R13,BTECH-MEC-R13-4-2-04,NON-DESTRUCTIVE EVALUATION,0
BTECH-MEC,R13,BTECH-MEC-R13-4-2-05,CRT(GK),0
BTECH-MEC,R13,BTECH-MEC-R13-4-2-06,CRT (ARITHMETIC AND REASONING),0
BTECH-MEC,R13,BTECH-MEC-R13-4-2-07,Activity (GATE),0
BTECH-MEC,R13,BTECH-MEC-R13-4-2-08,Activity (CNC),0
BTECH-CSE,R16,BTECH-CSE-R16-2-2-01,Software Engineeriong,0
BTECH-CSE,R16,BTECH-CSE-R16-2-2-02,Java Programming,0
BTECH-CSE,R16,BTECH-CSE-R16-2-2-03,Advanced Data Structures,0
BTECH-CSE,R16,BTECH-CSE-R16-2-2-04,Computer Organization,0
BTECH-CSE,R16,BTECH-CSE-R16-2-2-05,Formal Languages and Automata Theory,0
BTECH-CSE,R16,BTECH-CSE-R16-2-2-06,Principles of Programming Languages,0
BTECH-CSE,R16,BTECH-CSE-R16-2-2-07,Advanced data structures Lab,0
BTECH-CSE,R16,BTECH-CSE-R16-2-2-08,Java Programming Lab,0
BTECH-CSE,R16,BTECH-CSE-R16-3-2-01,Design and Analysis of Algorithms,0
BTECH-CSE,R16,BTECH-CSE-R16-3-2-02,Computer Networks,0
BTECH-CSE,R16,BTECH-CSE-R16-3-2-03,Artificial Intellegence,0
BTECH-CSE,R16,BTECH-CSE-R16-3-2-04,Data warehousing and data Mining,0
BTECH-CSE,R16,BTECH-CSE-R16-3-2-05,Software Testing Methodologies,0
BTECH-CSE,R16,BTECH-CSE-R16-3-2-06,Computer Networks Lab,0
BTECH-CSE,R16,BTECH-CSE-R16-3-2-07,Software Testing lab,0
BTECH-CSE,R16,BTECH-CSE-R16-3-2-08,Data warehousing and Data Mining Lab,0
BTECH-CSE,R16,BTECH-CSE-R16-3-2-09,IPR & Patents,0
BTECH-CSE,R13,BTECH-CSE-R13-4-2-01,Cloud Computing,0
BTECH-CSE,R13,BTECH-CSE-R13-4-2-02,Distributed Systems,0
BTECH-CSE,R13,BTECH-CSE-R13-4-2-03,Management Science,0
BTECH-CSE,R13,BTECH-CSE-R13-4-2-04,Human Computer Interaction,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-01,EMBEDDED SYSTEMS,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-02,CELLULAR & MOBILE COMMUNICATIONS,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-03,WIRELESS SENSOR NETWORKS,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-04,INSTRUMENTATION,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-05,CRT-A,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-06,CRT-B,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-07,CORE-ACTIVITY-JAVA,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-08,GATE-A (ACTIVITY),0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-09,GATE-B (ACTIVITY),0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-10,EMBEDDED SYSTEMS,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-11,CELLULAR & MOBILE COMMUNICATIONS,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-12,WIRELESS SENSOR NETWORKS,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-13,ELECTRONIC MEASURNG INSTRUMENTATION,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-14,CRT-A,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-15,CRT-B,0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-16,JAVA(ACTIVITY),0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-17,GATE-A (ACTIVITY),0
BTECH-ECE,R13,BTECH-ECE-R13-4-2-18,GATE-B (ACTIVITY),0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-01,MICRO WAVE ENGG.,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-02,MICRO PROCESSORS & MICROCONTROLLERS,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-03,DIGITAL SIGNAL PROCESSING,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-04,BIO MEDICAL ENGG.,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-05,VLSI,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-06,IPR&P,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-07,DC LAB,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-08,VLSI LAB,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-09,MPMC LAB,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-10,CRT-A,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-11,CRT-B,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-12,DSD USING FPGA (ACTIVITY),0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-13,GATE (ACTIVITY),0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-14,MICRO WAVE ENGG.,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-15,MICRO PROCESSORS & MICROCONTROLLERS,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-16,DIGITAL SIGNAL PROCESSING,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-17,BIO MEDICAL ENGG.,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-18,VLSI,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-19,IPR&P,0
BTECH-ECE,R16,BTECH-ECE-R16-3-2-20,DC LAB,0
